Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.323592 45.867769 0.320095 45.862297 5 6
0.320095 45.862297 0.322385 45.85914 5 6
0.322385 45.85914 0.320612 45.85333 5 6
0.320612 45.85333 0.311337 45.84409 5 6
0.311337 45.84409 0.31784 45.835563 5 6
0.31784 45.835563 0.328527 45.834315 5 6
0.328527 45.834315 0.334739 45.836327 5 6
0.334739 45.836327 0.339944 45.836794 5 6
0.339944 45.836794 0.345061 45.834493 5 6
0.345061 45.834493 0.345239 45.83079 5 6
0.345239 45.83079 0.3403 45.831043 5 6
0.3403 45.831043 0.340238 45.827078 5 6
0.340238 45.827078 0.33833 45.82326 5 6
0.33833 45.82326 0.339024 45.81899 5 6
0.339024 45.81899 0.325831 45.818375 5 6
0.325831 45.818375 0.312125 45.815454 5 19
0.312125 45.815454 0.311058 45.819072 5 19
0.311058 45.819072 0.303291 45.819397 5 19
0.303291 45.819397 0.297467 45.820797 5 19
0.297467 45.820797 0.291832 45.827132 5 19
0.291832 45.827132 0.287161 45.830224 5 19
0.287161 45.830224 0.278642 45.827801 5 19
0.278642 45.827801 0.276167 45.831704 5 19
0.276167 45.831704 0.270195 45.833799 5 19
0.270195 45.833799 0.264161 45.830982 5 19
0.264161 45.830982 0.261565 45.827078 5 19
0.261565 45.827078 0.255925 45.823144 5 19
0.255925 45.823144 0.254881 45.819545 5 19
0.254881 45.819545 0.256276 45.816173 5 19
0.256276 45.816173 0.252626 45.81201 5 19
0.252626 45.81201 0.246667 45.809358 5 19
0.246667 45.809358 0.243245 45.809354 5 19
0.243245 45.809354 0.240672 45.804443 5 19
0.240672 45.804443 0.224867 45.801388 5 16
0.224867 45.801388 0.21686 45.803893 5 16
0.21686 45.803893 0.21173 45.789772 5 16
0.21173 45.789772 0.212648 45.786479 5 16
0.212648 45.786479 0.216292 45.7847 5 16
0.216292 45.7847 0.217983 45.77667 5 16
0.217983 45.77667 0.224103 45.770074 5 16
0.224103 45.770074 0.223964 45.761635 5 16
0.223964 45.761635 0.227025 45.759128 5 16
0.227025 45.759128 0.227784 45.753902 5 16
0.227784 45.753902 0.22103 45.750843 5 16
0.22103 45.750843 0.216851 45.753587 5 14
0.216851 45.753587 0.211975 45.754969 5 14
0.211975 45.754969 0.208474 45.753864 5 14
0.208474 45.753864 0.202337 45.755962 5 14
0.202337 45.755962 0.195862 45.752142 5 14
0.195862 45.752142 0.19334 45.749311 5 14
0.19334 45.749311 0.185297 45.756252 5 14
0.185297 45.756252 0.179406 45.752077 5 14
0.179406 45.752077 0.176234 45.751578 5 14
0.176234 45.751578 0.173697 45.754109 5 14
0.173697 45.754109 0.167605 45.749841 5 14
0.167605 45.749841 0.163889 45.745269 5 14
0.163889 45.745269 0.15941 45.746966 5 14
0.15941 45.746966 0.150859 45.742229 5 14
0.150859 45.742229 0.149601 45.737668 5 14
0.149601 45.737668 0.144637 45.736529 5 14
